epoch_idx	MR	MRR	Hits@5	Hits@10
10	231.6823	0.4244886	0.609375	0.67291665
20	161.61806	0.40374327	0.5517361	0.634375
30	124.86771	0.34474745	0.48020834	0.56666666
40	112.77986	0.33869	0.46145833	0.53576386
50	113.60694	0.33784145	0.45520833	0.54305553
60	106.15417	0.3348463	0.45590279	0.540625
70	106.14757	0.33503354	0.44479167	0.5451389
80	101.41007	0.3370677	0.45173612	0.5451389
90	105.8243	0.33182532	0.43854168	0.53576386
100	109.29479	0.339542	0.45208332	0.5434028
110	111.74062	0.3360006	0.45	0.5385417
